study,task_feature,questionnaire,n,r,t,p,ci_lower,ci_upper,p_bh
Study5,thresh_salience_diff,MAIA_NotDistracting,181,0.08591758815173643,1.1537653252041997,0.25013457610339557,-0.06070085445034218,0.22890674176985906,0.7731432352286772
Study5,arousal_conf_r,MAIA_Noticing,173,-0.08691185569824553,-1.140836908698263,0.25553302327338906,-0.23308956825139782,0.06310671414792311,0.7785597968717045
Study5,slope_hit_overall,BARQ_total,181,0.08458002563945512,1.1356730888463873,0.257611697494314,-0.06204313383281419,0.22762959329567203,0.7785597968717045
Study5,thresh_salience_diff,PHQ4_Depression,181,-0.08345174223301981,-1.120416431032318,0.2640373438301248,-0.2265518885499289,0.06317498384305356,0.7791059902251557
Study5,mean_threshold,PHQ4_Depression,181,0.0825928499114058,1.1088053938147768,0.26900167347784093,-0.06403633842164615,0.22573126367666188,0.7791059902251557
Study5,slope_hit_overall,MAIA_BodyListen,181,-0.0821876761590651,-1.1033288698418655,0.27136546246178683,-0.22534407167585463,0.06444259789218838,0.7791059902251557
Study5,thresh_direction_diff,MAIA_SelfReg,181,0.08180014435637198,1.0980913183629266,0.27363949131185344,-0.06483112266920167,0.22497369635497444,0.7791059902251557
Study5,mean_arousal_overall,BARQ_total,181,-0.08162096646530242,-1.09566987147261,0.2746952577760683,-0.22480243688825058,0.06501074464099427,0.7791059902251557
Study5,mean_threshold,MAIA_BodyListen,181,0.08103005948129252,1.0876849895192262,0.27819657665566067,-0.06560304881679291,0.2242375812105731,0.7791059902251557
Study5,slope_miss_dec,MAIA_SelfReg,172,-0.0829069851752731,-1.0847091736859134,0.27958636402564957,-0.22969190582742666,0.06756563479469757,0.7791059902251557
Study5,Awareness,MAIA_AttentionReg,181,-0.08038247741016269,-1.0789355869036776,0.2820681663237513,-0.22361843855130564,0.06625204343820014,0.7791059902251557
Study5,Awareness,MAIA_Noticing,181,-0.07999699750082119,-1.0737280683548307,0.2843898934650483,-0.22324983260249098,0.06663830528458599,0.7791059902251557
Study5,thresh_direction_diff,MAIA_NotDistracting,181,0.07924330547365445,1.0635477034913918,0.2889662995265082,-0.06739339920589614,0.2225290142366179,0.7791059902251557
Study5,miss_rate,BIPS_total,181,0.07918859816859462,1.0628088256834047,0.28930038607625264,-0.06744820173037563,0.22247668699228074,0.7791059902251557
Study5,thresh_direction_diff,SPANE_Neg,181,0.0781476981566295,1.0487522453307274,0.2957061078393934,-0.06849074490511681,0.2214809143957051,0.7804933825129019
Study5,mean_Confidence,BIPS_total,181,0.07746317405399679,1.0395101403969622,0.299969624408031,-0.0691761750806878,0.2208259043445704,0.7804933825129019
