study,condition,coef,r_scale,n_pp,M,BF10,BF01,log_BF10,interp
Study4,misses,b_change_M1,0.5,131,-0.29327825583801925,17.72524354471715,0.05641671424582717,2.8749898125052993,Strong evidence: slope ≠ 0
Study4,misses,b_change2_M2,0.5,130,-0.788610777162144,0.29577518430186367,3.3809462492952593,-1.2181556257275217,Moderate evidence FOR null
Study4,misses,b_change_M1,0.707,131,-0.29327825583801925,14.224291021636262,0.07030227365841445,2.65495113846356,Strong evidence: slope ≠ 0
Study4,misses,b_change2_M2,0.707,130,-0.788610777162144,0.2164169444048508,4.6207102810272644,-1.5305484337588826,Moderate evidence FOR null
Study5,hits,b_change_M1,0.3,185,-0.4293711384682659,775866729223352.25,1.2888811471539791e-15,34.28500188067109,Extreme evidence: slope ≠ 0
Study5,hits,b_change2_M2,0.3,185,1.3460053599457311,8276624.086374103,1.2082220837434323e-7,15.928945724184493,Extreme evidence: slope ≠ 0
Study5,hits,b_change_M1,0.5,185,-0.4293711384682659,1005291361163188.1,9.9473648996937e-16,34.54405380601064,Extreme evidence: slope ≠ 0
Study5,hits,b_change2_M2,0.5,185,1.3460053599457311,8920238.10106256,1.1210463091572433e-7,16.003833197144175,Extreme evidence: slope ≠ 0
Study5,hits,b_change_M1,0.707,185,-0.4293711384682659,1058523159701240.6,9.447124428361509e-16,34.59565108600076,Extreme evidence: slope ≠ 0
Study5,hits,b_change2_M2,0.707,185,1.3460053599457311,8188628.838515088,1.2212056740153073e-7,15.918257022828403,Extreme evidence: slope ≠ 0
Study5,misses,b_change_M1,0.3,184,-0.20238451155730625,4.741965979752764,0.21088299753093925,1.556451813377235,Moderate evidence: slope ≠ 0
Study5,misses,b_change2_M2,0.3,184,-1.3505798814273742,8.010264223943041,0.12483982700732328,2.0807237472956475,Moderate evidence: slope ≠ 0
Study5,misses,b_change_M1,0.5,184,-0.20238451155730625,3.4856104798011645,0.2868937897091257,1.2486432024154865,Moderate evidence: slope ≠ 0
Study5,misses,b_change2_M2,0.5,184,-1.3505798814273742,6.025245529996099,0.16596834021478413,1.7959582304129564,Moderate evidence: slope ≠ 0
Study5,misses,b_change_M1,0.707,184,-0.20238451155730625,2.648965569303225,0.37750585043014984,0.9741692125849363,Anecdotal: slope ≠ 0
Study5,misses,b_change2_M2,0.707,184,-1.3505798814273742,4.621030797734457,0.21640193363140273,1.5306177965996266,Moderate evidence: slope ≠ 0
