study,task_feature,questionnaire,n_s4,r_s4,t,p_s4,ci_lower,ci_upper,p_bh_s4,r_s5,p_s5,p_bh_s5,n_s5,same_direction,replicated,sig_s4,sig_s5
Study4,thresh_direction_diff,MAIA_SelfReg,63,-0.12586178377026755,-0.9908917382155331,0.32565283293485436,-0.36232792850159223,0.12582705881511785,0.9903863843384291,0.08180014435637198,0.27363949131185344,0.7791059902251557,181,FALSE,FALSE,FALSE,FALSE
Study4,miss_rate,MAIA_EmoAware,63,0.12183231117058177,0.9586822827515048,0.3415032962203639,-0.1298524190746931,0.35876765999157173,0.9903863843384291,0.13315390246589348,0.07394440795745243,0.548237048417462,181,TRUE,FALSE,FALSE,FALSE
Study4,slope_miss_acc,SPANE_Pos,58,-0.1266153125213004,-0.9551897054840417,0.3435870895075611,-0.3727215279085452,0.13613256915903282,0.9903863843384291,0.004762858869424692,0.9508477226027207,0.9962431358547761,170,FALSE,FALSE,FALSE,FALSE
Study4,thresh_direction_diff,MAIA_total,63,0.11977172319138547,0.9422297429406878,0.34979178629573404,-0.13190770304091265,0.356944345159111,0.9903863843384291,0.19076335992800408,0.010101233875209406,0.2565327730012103,181,TRUE,TRUE,FALSE,FALSE
Study4,Awareness,MAIA_Trusting,62,-0.11975439199964108,-0.9343374459634713,0.35387498674199525,-0.35879085899192603,0.13402253727118213,0.9903863843384291,-0.11335921710753737,0.12865474251223438,0.564420805860125,181,TRUE,FALSE,FALSE,FALSE
Study4,slope_hit_overall,BARQ_total,63,0.11838652211726906,0.9311767140322778,0.35543296231127275,-0.13328812335699483,0.35571763098110104,0.9903863843384291,0.08458002563945512,0.257611697494314,0.7785597968717045,181,TRUE,FALSE,FALSE,FALSE
Study4,slope_miss_dec,MAIA_AttentionReg,62,0.11904518220134498,0.9287243253693057,0.35675329306723447,-0.13472901270719617,0.35816384806469737,0.9903863843384291,-0.1844948566538944,0.015400570554281425,0.2992110850546105,172,FALSE,FALSE,FALSE,FALSE
Study4,thresh_direction_diff,MAIA_NotWorrying,63,0.11649857600348326,0.916120962564201,0.3632110990849806,-0.13516798244802877,0.35404437516103027,0.9903863843384291,0.032433884727576724,0.664692057131903,0.962396519053323,181,TRUE,FALSE,FALSE,FALSE
Study4,thresh_direction_diff,MAIA_EmoAware,63,0.11614058428181397,0.9132672367273467,0.364697614664501,-0.13552423647766884,0.3537269213243034,0.9903863843384291,0.1688580880332418,0.023064981951093473,0.3485375050387458,181,TRUE,TRUE,FALSE,FALSE
Study4,Awareness,PHQ4_Anxiety,62,0.11526931862761053,0.8988638811534037,0.3723183741668624,-0.1384859799894593,0.3548219798952151,0.9903863843384291,-0.03356199911658115,0.6537717086576436,0.962396519053323,181,FALSE,FALSE,FALSE,FALSE
Study4,mean_Confidence,MAIA_NotWorrying,63,-0.11318341658653541,-0.8897079068933174,0.3771181901389169,-0.35110251907418494,0.13846456316909952,0.9903863843384291,-0.1504720977942664,0.04318704635913385,0.41953130748872874,181,TRUE,TRUE,FALSE,FALSE
Study4,slope_hit_overall,SPANE_Pos,63,-0.11303050571261845,-0.8884903449310406,0.37776727847074765,-0.3509667133005985,0.1386164826861822,0.9903863843384291,-0.0976559701674993,0.19092329138151515,0.6573561424781281,181,TRUE,FALSE,FALSE,FALSE
Study4,conf_acc_r,PHQ4_Anxiety,62,0.11177742095559809,0.8712842846912399,0.3870719202696068,-0.14195391437317437,0.35172598101342667,0.9903863843384291,-0.011859353969372394,0.8741010589408784,0.9827671204101989,181,FALSE,FALSE,FALSE,FALSE
Study4,Awareness,MAIA_NotDistracting,62,0.10931454827161094,0.8518518206929825,0.3976836830481425,-0.1443961454559666,0.34953917853166433,0.9903863843384291,-0.04390507236484975,0.5572889242288687,0.9574311391542774,181,FALSE,FALSE,FALSE,FALSE
Study4,slope_miss_overall,PHQ4_Anxiety,63,-0.10835191268354848,-0.8512672410163564,0.3979503908505101,-0.34680663858897587,0.1432590254771931,0.9903863843384291,-0.03904410102138578,0.6027982723808268,0.962396519053323,180,TRUE,FALSE,FALSE,FALSE
Study4,slope_miss_acc,SPANE_Neg,58,0.11236291146685365,0.8462058572717015,0.4010394662285436,-0.15029485061224618,0.3602045191105427,0.9903863843384291,0.002789934275958202,0.9711962594979876,0.9962431358547761,170,TRUE,FALSE,FALSE,FALSE
Study4,thresh_salience_diff,MAIA_EmoAware,62,-0.1070684575194069,-0.8341436546434875,0.40750880475702866,-0.34754257377117176,0.1466207199033081,0.9903863843384291,0.03286842839247475,0.660477076792229,0.962396519053323,181,FALSE,FALSE,FALSE,FALSE
Study4,conf_acc_r,MAIA_SelfReg,62,0.10556878359284687,0.822327444671715,0.41414665115969773,-0.14810460053753277,0.346208261933843,0.9903863843384291,-0.15219965073700314,0.04081717797577214,0.41953130748872874,181,FALSE,FALSE,FALSE,FALSE
