id,miss_rate,n_trials,mean_arousal_overall,slope_hit_overall,slope_miss_overall,slope_hit_acc,slope_miss_acc,slope_hit_dec,slope_miss_dec,conf_acc_r,arousal_conf_r,arousal_salience_diff,MAIA_total,MAIA_Noticing,MAIA_NotDistracting,MAIA_NotWorrying,MAIA_AttentionReg,MAIA_EmoAware,MAIA_SelfReg,MAIA_BodyListen,MAIA_Trusting,study
139,0.1,10,18.3,-6.875,NA,-53.333333333333336,NA,-41.249999999999986,NA,0.9682387684284746,0.1615840753358988,NA,108,4.25,1.33333333333333,3.6,4.14285714285714,3.6,1.25,2,2.33333333333333,Study1A
14,0.3,10,31.6,-5.535168195718649,29.999999999999964,-30.000000000000053,NA,NA,29.999999999999964,0.4382579067220036,0.39289362537803924,NA,96,4,3.16666666666667,2.8,3,1.6,2.25,0,3,Study1A
140,0.3,10,18.7,-7.971943887775556,-35,NA,-35,11.176470588235293,NA,0.2482702905390501,-0.6326815854801797,NA,123,4.5,2.5,1.8,4.42857142857143,4.6,2.75,2.66666666666667,2.66666666666667,Study1A
141,0.1,10,41,-14.393299344501095,NA,7.94410929039128e-14,NA,4.571428571428592,NA,0.9999999999999999,0.1673373601880206,NA,152,4.75,1.5,4.8,4.57142857142857,4.8,4,5,4.33333333333333,Study1A
142,0.2,10,11.5,-14.43835616438356,NA,-36.66666666666668,NA,3.9999999999999787,NA,-0.11756410166749272,0.7002982524262751,NA,105,3.5,3.5,3.6,3,2.6,2.25,1.66666666666667,1.33333333333333,Study1A
143,0.2,10,9.4,-22.203963401896758,NA,-47.43589743589744,NA,-96.92307692307689,NA,-0.08019110233050734,-0.09105177802000704,NA,90,5,4,1.6,2.28571428571429,3,0.25,0.666666666666667,1.33333333333333,Study1A
144,0.3,10,20.7,-12.098490221906978,-19.411764705882355,-11.428571428571635,NA,373.333333333333,NA,0.4565182882597661,0.2411897946730583,NA,110,4,4.66666666666667,1.4,2.14285714285714,4.4,2.5,1.66666666666667,2.33333333333333,Study1A
145,0.1,10,18.3,-12.450765864332608,NA,-206.66666666666595,NA,169.99999999999997,NA,-0.008638361934889071,0.2581478684964041,NA,97,3,2.5,2,3.14285714285714,3.4,2,2.66666666666667,1.66666666666667,Study1A
146,0.2,10,37.3,-18.431667292997613,NA,-13.333333333333352,NA,-163.15789473684214,NA,0.3199017200353671,-0.5353789438836176,NA,124,3.75,4.16666666666667,2,3.4285714285714306,4.2,2.75,3.33333333333333,2.66666666666667,Study1A
147,0.3,10,7.6,-8.600823045267488,-9.193548387096778,26.774193548387085,NA,15.000000000000034,NA,0.6174079509642627,-0.0881649341925972,NA,110,3.5,3.8333333333333295,2,2.5714285714285694,4,1.25,2.33333333333333,4.33333333333333,Study1A
148,0.1,10,24.5,-22.41547365214742,NA,6.66666666666668,NA,2.8125000000000124,NA,0.3305898024536431,-0.3188157006244988,NA,96,3.5,1.66666666666667,2.6,2.28571428571429,2.8,0.75,3.6666666666666705,5,Study1A
149,0.2,10,18.1,-3.533531780773947,NA,100.00000000000004,NA,10.2857142857143,NA,-0.2614277075051973,0.8240130289772531,NA,118,4,2,3.6,3.85714285714286,3.6,2.75,1.66666666666667,3.6666666666666705,Study1A
15,0.1,10,20.3,-9.929029616486966,NA,5.555555555555573,NA,-22.857142857142833,NA,0.025641025641025644,-0.41078993877056486,NA,125,3.75,3,2.2,3.5714285714285694,4.6,3,3.6666666666666705,3.33333333333333,Study1A
150,0.3,10,21,-6.859999999999998,-41.61290322580647,NA,-41.61290322580647,-36.42857142857138,NA,0.2948437843706635,-0.5619991848634178,NA,140,3,3,3.6,4.42857142857143,5,3.5,4,3.33333333333333,Study1A
151,0.2,10,26.2,-12.543859649122792,NA,-6.064414069426652e-14,NA,37.49999999999999,NA,0.42846746693867177,-0.4570716161386382,NA,113,2.75,2.66666666666667,2.8,3.28571428571429,3.4,4,1.66666666666667,3.6666666666666705,Study1A
152,0.2,10,31.6,-5.100563153660497,NA,-13.333333333333345,NA,20.000000000000025,NA,0.6309898162000305,0.0021519264221764754,NA,128,3.75,2,3.2,4,4.2,3.75,3.33333333333333,3.6666666666666705,Study1A
153,0.1,10,23.3,-10.064148253741976,NA,-133.33333333333334,NA,6.842105263157889,NA,0.40519451372939047,0.17069886733541023,NA,130,3.5,2.16666666666667,4.2,3.5714285714285694,4.2,3.5,2.66666666666667,4.66666666666667,Study1A
154,0.6,10,25.9,-15.999999999999986,-3.019857624578494,NA,-9.999999999999947,-15.999999999999986,NA,0.16842825367989092,0.1672298472254845,NA,113,3,3.33333333333333,2.6,2.85714285714286,3.8,3,3,2.66666666666667,Study1A
155,0.2,10,28.3,-9.624821065947609,NA,18.333333333333364,NA,13.333333333333545,NA,-0.44869935904640224,-0.01491262417035237,NA,110,3.75,2.66666666666667,3.4,2.14285714285714,4,3.5,2,2.33333333333333,Study1A
156,0.2,10,19.3,-23.043478260869566,NA,-5.000000000000006,NA,-31.000000000000018,NA,-0.05348281873006976,-0.5023130887388771,NA,81,1.75,1.66666666666667,1.8,2.5714285714285694,2.6,1,1.66666666666667,5,Study1A
157,0.2,10,9.6,-10.109452736318405,NA,-30.000000000000007,NA,19.999999999999993,NA,0.3717676949430791,0.493166579115462,NA,133,3.25,4.83333333333333,3,3,4.6,3.75,1.33333333333333,4.33333333333333,Study1A
158,0.2,10,20.3,-16.276139165373024,NA,-47.49999999999999,NA,-58.33333333333328,NA,0.6606564478976652,-0.1820844339198867,NA,107,4.25,2.16666666666667,3.2,2.4285714285714306,4,2.5,1.66666666666667,3,Study1A
159,0.2,10,31.9,-7.009803921568631,NA,-15.00000000000003,NA,16.538461538461565,NA,0.6481982631833103,0.45378889826589425,NA,115,3.25,2.33333333333333,3.6,2.71428571428571,4,4.25,1.33333333333333,3.33333333333333,Study1A
16,0.3,10,26.2,-11.31399317406145,-15.384615384615408,-26.428571428571427,NA,-44.73684210526314,NA,0.14889810877427323,-0.389229263771959,NA,86,2,3.5,3,2.28571428571429,2,2,0,2.66666666666667,Study1A
160,0.2,10,34,-7.227958697378873,NA,-51.25000000000002,NA,-96.6666666666666,NA,-0.18857450736402895,0.39026172388459057,NA,115,3.75,2,2.8,3.14285714285714,3,4,4,3,Study1A
161,0.5,10,27,9.118911174785095,-2.833698030634573,NA,-45.714285714285694,51.85185185185207,NA,-0.09649345555330813,-0.0769018741466033,NA,125,2.75,3.33333333333333,3.2,3.14285714285714,3.2,3.25,4.33333333333333,4.66666666666667,Study1A
162,0.2,10,23.5,-9.999999999999996,NA,34.99999999999982,NA,-43.5714285714286,NA,0.894764382214604,-0.2547560251092266,NA,115,3.5,2,3.2,3.71428571428571,3,3.75,1.66666666666667,4,Study1A
163,0.2,10,23.3,-7.433784579164218,NA,-59.999999999999964,NA,133.33333333333348,NA,0.754376860833188,-0.20595893313881247,NA,108,3.75,2.33333333333333,2.6,3.71428571428571,2.8,3.5,2.66666666666667,1.33333333333333,Study1A
164,0.2,10,29.3,-2.870529082390578,NA,45.00000000000003,NA,-7.428571428571411,NA,0.946574488692116,0.1882710863936822,NA,118,3.25,2.83333333333333,4,3.28571428571429,4,2.25,1.66666666666667,3.6666666666666705,Study1A
165,0.2,10,25.7,-16.31834560551465,NA,-50.526315789473735,NA,-10.769230769230768,NA,0.21504133222818816,-0.2811128728805911,NA,108,2.5,3.5,2.8,3,2.8,2.5,2,4,Study1A
166,0.4,10,22,-14.691689008042896,-10.775510204081634,NA,-60.00000000000011,25.263157894736878,NA,0.8523699382213527,-0.09764514141946706,NA,118,3.75,2.66666666666667,1.6,3.85714285714286,5,1.5,2,5,Study1A
167,0.1,10,20.9,-10.896122896854425,NA,1.9860273225978175e-14,NA,-25.26315789473687,NA,0.9977797485929203,0.04661631840683121,NA,132,4.75,2.16666666666667,4,3.85714285714286,4,3.5,2.66666666666667,3.6666666666666705,Study1A
168,0.3,10,19.5,-19.963989917176807,-32.30769230769232,NA,-32.30769230769232,-0.8695652173913271,NA,0.4575836414561206,-0.3427920507928945,NA,97,4,4.5,2.4,1.42857142857143,3.2,1.5,1.33333333333333,2,Study1A
169,0.3,10,18.3,3.7556561085972824,-6.501457725947529,-5.0000000000000675,NA,-210.00000000000014,NA,0.27727630534874026,-0.09601877056501011,NA,114,2.75,3.16666666666667,2.8,3.28571428571429,3,3.25,2.33333333333333,4,Study1A
17,0.1,10,19.4,-3.2697027542950665,NA,20.000000000000004,NA,-140.00000000000003,NA,0.737231978867888,0.1335257490511761,NA,102,2.75,4.83333333333333,3.4,2.4285714285714306,1,1.25,1,5,Study1A
170,0.2,10,24.5,-22.42242686489885,NA,71.81818181818174,NA,-100,NA,0.6187983455093131,-0.04111286676388159,NA,113,4,2.33333333333333,2,4,3.8,2.75,0.333333333333333,4.66666666666667,Study1A
171,0.1,10,23.6,-12.575431034482756,NA,-29.999999999999996,NA,-20.000000000000004,NA,0.6626295232699524,-0.12664188999790044,NA,123,3.75,1.66666666666667,3.8,3.85714285714286,4.2,3.75,2.33333333333333,3,Study1A
172,0.1,10,23.8,-38.46613545816733,NA,-20.000000000000025,NA,-2.941176470588226,NA,0.2182178902359924,-0.4217813587350915,NA,123,5,2,2.8,3.5714285714285694,4,3,2.33333333333333,4.33333333333333,Study1A
173,0.3,10,17.6,-11.043390514631684,-10.987261146496817,-32.58064516129031,NA,-85.1162790697673,NA,0.6276459144608477,0.38229106259460865,NA,129,4.5,2.16666666666667,3.8,3.28571428571429,3.2,3.5,4,4.66666666666667,Study1A
