id,miss_rate,n_trials,mean_arousal_overall,slope_hit_overall,slope_miss_overall,slope_hit_acc,slope_miss_acc,slope_hit_dec,slope_miss_dec,conf_acc_r,arousal_conf_r,arousal_salience_diff,thresh_c1,mean_Confidence,Awareness,c_bias,H_corr,FA_corr,dprime,MAIA_total,MAIA_Noticing,MAIA_NotDistracting,MAIA_NotWorrying,MAIA_AttentionReg,MAIA_EmoAware,MAIA_SelfReg,MAIA_BodyListen,MAIA_Trusting,BARTtotalpoints,BIS,BAS_Drive,BAS_FunSeeking,study
138,0.17647058823529413,17,19.529411764705884,-11.717220543806652,-85.00000000000021,-20.099173553719027,-85.00000000000021,27.142857142857142,NA,0.4653492969513741,-0.3372686797112622,NA,0.3125,34.88,0.5130426424992387,-0.2897089865558321,0.8055555555555556,0.3888888888888889,1.1438502672366804,138,2.5,3.33333333333333,5.4,4.28571428571429,1.8,3.75,4.33333333333333,4.66666666666667,2410,3.57142857142857,2.5,2,Study2
139,0.17647058823529413,17,14.529411764705882,2.74450296051653,110.0000000000001,34.57851239669423,110.0000000000001,134.3137254901961,NA,0.29365230421179933,0.30925043904888905,NA,0.625,46.92,0.09608130426252344,-0.2897089865558321,0.8055555555555556,0.3888888888888889,1.1438502672366804,147,3.75,5.33333333333333,3.4,4.57142857142857,4.2,2.5,2,4.66666666666667,2300,1.42857142857143,0.75,1.75,Study2
14,0.058823529411764705,17,31.58823529411765,-8.900041545492314,NA,-4.052631578947392,NA,25.45454545454549,NA,0.0728237319332017,0.5275921589293534,NA,0.29375,33.28,0.39621232912175697,-0.8326051370815731,0.9166666666666666,0.6111111111111112,1.10077798003813,133,3.75,2.66666666666667,5.2,4,2.2,4,3,4,2710,3,2,2.25,Study2
140,0.17647058823529413,17,23.352941176470587,-13.793166873591764,12.10237659963438,-66.98795180722894,NA,-7.272727272727355,NA,0.3978432113021671,-0.5384783951896807,NA,0.475,44.4,0.02096928153342745,-0.5719251336183402,0.8055555555555556,0.6111111111111112,0.5794179731116641,150,4,4.5,3.6,4.14285714285714,4.2,3.75,3.6666666666666705,4.33333333333333,1490,2.14285714285714,1,0.75,Study2
141,0.29411764705882354,17,24.352941176470587,-15.968506692327894,-35.555555555555536,-108.57142857142861,-35.555555555555536,-5.991902834008045,NA,0.7648193435859679,-0.017135392644346173,NA,0.475,45.08,0.2650844116267129,0.2294667534961724,0.6944444444444444,0.16666666666666666,1.475909625211058,135,4.5,1.83333333333333,3.6,4.28571428571429,4.8,2.25,3.6666666666666705,4.66666666666667,2390,2,0.25,2,Study2
142,0.17647058823529413,17,22.176470588235293,-7.163061474035039,-49.99999999999999,12.857142857142785,-49.99999999999999,-7.044025157232623,NA,0.6497126392325466,-0.20121223264782326,NA,0.496875,41.8,0.27105747192962204,-0.43081706008708615,0.8055555555555556,0.5,0.8616341201741723,139,4,3.8333333333333295,2.4,3.71428571428571,4.8,3,4.33333333333333,4.33333333333333,2910,1.42857142857143,1,1,Study2
143,0,17,46.76470588235294,5.147402071724449,NA,72.02797202797157,NA,0,NA,NA,-0.20258777384338786,NA,0.56875,49.32,0.3006253263689873,-1.4409636955786291,0.9722222222222222,0.8333333333333334,0.9470842589538556,135,4.25,2.33333333333333,2.8,4,3.8,4,4.33333333333333,4.66666666666667,2420,2,2,1.75,Study2
144,0.29411764705882354,17,19.58823529411765,-19.11473765001994,-4.196597353497163,-23.46153846153855,158.51851851851862,15.504424778761013,NA,0.6078048332278959,-0.08451403892990317,NA,0.484375,41.24,0.24586774301998707,-0.11313595602342424,0.6944444444444444,0.3888888888888889,0.7907042061718647,144,4.25,3.5,2.8,4,4.2,4.75,3,5,3530,1.57142857142857,2,1.5,Study2
145,0.17647058823529413,17,31.764705882352942,-2.8321892204173165,-100.00000000000001,-34.23728813559332,-100.00000000000001,-42,NA,0.43830114781485235,-0.1464016464274574,NA,0.5375000000000001,44.92,0.4506244068536513,-0.13608916116219688,0.8055555555555556,0.2777777777777778,1.4510899180239507,106,4,3,3,2.14285714285714,3.2,3,2.33333333333333,2.33333333333333,3100,1.42857142857143,1.5,1.5,Study2
146,0.17647058823529413,17,20.58823529411765,-18.449399656946824,0.723327305605784,-53.93258426966289,NA,18.235294117647,NA,0.6918118267300752,-0.0184381289861916,NA,0.2875,38.32,0.4352919158423102,-0.13608916116219688,0.8055555555555556,0.2777777777777778,1.4510899180239507,124,3.75,2.83333333333333,3.2,3.5714285714285694,3.4,3.75,3,3.33333333333333,2000,1.85714285714286,1.25,1.25,Study2
